business_id,labels
1000,1 2 3 4 5 6 7
100,1 2 4 5 6 7
101,1 2 3 4 5 6
1011,2 3 5 6
1012,1 2 3 5 6
1014,1 2 4 5 6
1015,1 5 6 7
1024,0 1 2 3 4 5 6
1026,1 2 4 5 6 7
1030,0 3 5 8
1031,6 8
1035,5 6 8
1036,1 2 4 5 6 7
1043,0 6 8
1046,0 6 8
1052,0 3 8
1054,6 8
1057,0 3 8
1061,0 8
1064,6 8
1067,1 2 5 6 7 8
1075,0 2 3 5 6 8
1079,5 6 8
1080,2 3 6 8
1081,1 2 4 5 6 7
1083,1 2 4 5 6 7
1091,1 2 4 5 6
1092,3 8
1094,5 6 8
1097,0 2 3 5 6 8
1100,1 2 3 4 5 6 7
1101,1 2 3 5 6
1102,6 8
1103,3 5 6 8
1107,6 8
111,1 2 3 5 6 7
1119,1 2 4 5 6 7
112,1 2 4 5 6 7
1130,1 2 5 6 7
1132,3 5 6 8
1133,0 8
1138,1 2 3 4 5 6
1150,0 8
1157,1 2 4 5 6 7
1162,1 5 8
1167,0 1 2 3 5 6 8
1168,5 6 8
1169,1 2 4 5 6 7
1171,2 3 5 6
1172,2 3 4 5 6 7
1181,6 8
1200,0 3 8
120,1 2 5 6 8
1208,2 3 5 6 8
1211,1 2 3 4 5 6 7
1216,0 6 8
1223,0 3 8
1228,1 2 3 4 5 6 7
1234,0 2 3 5 6
1235,0 8
1238,1 5 6 8
1239,0 1 3 4 5 6
1240,3 6 8
1244,1 2 5 6 8
1245,1 2 4 5 6 7
1252,0 2 3 8
1253,1 2 3 4 5 6 7
1258,0 1 2 5 6 8
1259,0 1 2 3 5 6 8
1264,0 5 8
1265,0 1 2 3 6 8
1269,0 3 6 8
1271,8
1274,0 2 5 6 8
1277,0 5 8
1279,1 2 3 5 6 8
1282,0 2 3 4 5 6 7 8
1284,1 2 4 5 6 7
1289,0 8
1292,1 2 5 6
1296,0 5 6 8
1298,1 2 4 5 6 8
1303,8
1305,5 6 8
